health_region,year_to,obesity_rate,obesity_rate_low,obesity_rate_high,ethnicity,radiance_mean
All,2020/21,0.527,0.506,0.548,Asian,
All,2020/21,0.662,0.652,0.672,European/Other,
All,2020/21,0.769,0.753,0.785,Māori,
All,2020/21,0.892,0.873,0.908,Pacific,
Te Ikaroa,2020/21,0.521,0.469,0.573,Asian,1.080381589762263
Te Ikaroa,2020/21,0.668,0.645,0.69,European/Other,1.080381589762263
Te Ikaroa,2020/21,0.752,0.719,0.783,Māori,1.080381589762263
Te Ikaroa,2020/21,0.858,0.804,0.901,Pacific,1.080381589762263
Te Manawa Taki,2020/21,0.513,0.458,0.568,Asian,1.9213060841247496
Te Manawa Taki,2020/21,0.686,0.668,0.704,European/Other,1.9213060841247496
Te Manawa Taki,2020/21,0.791,0.766,0.814,Māori,1.9213060841247496
Te Manawa Taki,2020/21,0.852,0.791,0.901,Pacific,1.9213060841247496
Te Tai Tokerau,2020/21,0.533,0.503,0.562,Asian,0.496704190560804
Te Tai Tokerau,2020/21,0.636,0.618,0.654,European/Other,0.496704190560804
Te Tai Tokerau,2020/21,0.769,0.734,0.802,Māori,0.496704190560804
Te Tai Tokerau,2020/21,0.911,0.886,0.932,Pacific,0.496704190560804
Te Waipounamu,2020/21,0.52,0.458,0.58,Asian,0.5117612891249261
Te Waipounamu,2020/21,0.662,0.637,0.687,European/Other,0.5117612891249261
Te Waipounamu,2020/21,0.74,0.687,0.788,Māori,0.5117612891249261
Te Waipounamu,2020/21,0.886,0.811,0.939,Pacific,0.5117612891249261
